,,ID,DATE ,VENTES P1 ,DEMANDE P1,VENTES P2,DEMANDE P2,VENTES P3,DEMANDE P3,VENTES P4,DEMANDE P4
,,715,15/12/2021,"614,8","674,895685880179","1256,46","1065,67109743727",743,"894,043348281016",351,"178,425"
,,716,16/12/2021,"673,16","738,960279614674","898,58","762,133879896839",668,"803,796711509716",204,"103,7"
,,717,17/12/2021,"365,82","401,578301575613","1506,78","1277,98091160604",641,"771,307922272048","269,5","136,995833333333"
,,718,18/12/2021,"533,16","585,275510546318","1093,12","927,133685139701","877,5","1055,88565022421",171,"86,9250000000001"
,,719,19/12/2021,0,0,0,0,0,0,0,0
,,720,20/12/2021,"583,24","640,25074793877","1141,22","967,929874263694",1047,"1259,84304932735","326,5","165,970833333333"
,,721,21/12/2021,"415,04","455,609475386645","1389,46","1178,47552890278",569,"684,671150971599","155,5","79,0458333333334"
,,722,22/12/2021,"642,38","705,171585386645","1111,44","942,67185945886",512,"616,083707025411","201,5","102,429166666667"
,,723,23/12/2021,"305,06","334,879111799947","889,93","754,79735108348","553,5","666,020179372197","96,5","49,0541666666667"
,,724,24/12/2021,"614,48","674,544406408023","1056,76","896,294819514994",441,"530,650224215247","275,5","140,045833333333"
,,725,25/12/2021,"417,32","458,112341625759","885,52","751,056993619098","496,5","597,432735426009","161,5","82,0958333333334"
,,726,26/12/2021,"28,26","31,0223683847981",0,0,732,"880,807174887892",0,0
,,727,27/12/2021,"195,68","214,807397223542","916,06","776,959605175163","491,5","591,416292974589",250,"127,083333333333"
,,728,28/12/2021,"306,48","336,43791445764","1227,8","1041,36301468688",465,"559,529147982063",264,"134,2"
,,729,29/12/2021,"392,78","431,173597104777","640,7","543,412024360552","487,5","586,603139013453",216,"109,8"
,,730,30/12/2021,"307,76","337,843032346265","864,54","733,262730670628",598,"719,566517189835","232,5","118,1875"
,,731,31/12/2021,"332,5","365,001326537345","1111,48","942,705785603662","551,5","663,613602391629",174,"88,4500000000001"
,,732,01/01/2022,"333,44","366,033209986804","611,28","518,459344858933","512,5","616,685351270553",172,"87,4333333333334"
,,733,02/01/2022,0,0,0,0,0,0,0,0
,,734,03/01/2022,"445,78","489,354259680654","1083,26","918,770890446092","875,5","1053,47907324365","180,5","91,7541666666667"
,,735,04/01/2022,"335,8","368,623896093956","1199,98","1017,76738097733",790,"950,597907324364",117,"59,475"
,,736,05/01/2022,"584,1","641,19481152019","1247,96","1058,46179166692",806,"969,850523168909","212,5","108,020833333333"
